Date / Time (EDT)	Battery (v)	Water Temp (F)	Water Conductivity (mS/cm)	Water Salinity (ppt)	Air Temp (F)	Relative Humidity (%)	Barometric  Pressure (in/Hg)	Rainfall (in)	NAVD88 Water Level (ft)
1/1/2021 0:00	12.84	58.13	9.7	6.21	66.9	100	30.13	0	-
12/31/2020 23:54	12.89	58.13	7.3	4.68	66.5	100	30.13	0	-
12/31/2020 23:48	12.89	58.16	5.9	3.8	66.5	100	30.13	0	-
12/31/2020 23:42	12.89	58.16	11	7.06	66.2	100	30.12	0	-
12/31/2020 23:36	12.89	58.16	10.8	6.94	66	100	30.13	0	-
12/31/2020 23:30	12.89	58.16	11	7.04	65.8	100	30.13	0	-
12/31/2020 23:24	12.93	58.17	9.7	6.19	65.8	100	30.13	0	-
12/31/2020 23:18	12.89	58.13	11.7	7.47	66	100	30.13	0	-
12/31/2020 23:12	12.89	58.12	12.3	7.88	66	100	30.13	0	-
12/31/2020 23:06	12.89	58.1	12.2	7.81	66.2	100	30.12	0	-
12/31/2020 23:00	12.89	58.12	11	7.06	66.2	100	30.12	0	-
12/31/2020 22:54	12.89	58.12	12.5	8.01	66.3	100	30.12	0	-
12/31/2020 22:48	12.89	58.12	12.5	8.01	66.5	100	30.12	0	-
12/31/2020 22:42	12.89	58.11	12.4	7.94	66.9	100	30.12	0	-
12/31/2020 22:36	12.89	58.09	12.1	7.78	67.2	100	30.12	0	-
12/31/2020 22:30	12.89	58.09	11.9	7.6	67.4	100	30.12	0	-
12/31/2020 22:24	12.89	58.09	11.8	7.54	67.6	100	30.12	0	-
12/31/2020 22:18	12.91	58.09	11.6	7.45	67.8	100	30.12	0	-
12/31/2020 22:12	12.9	58.07	11.7	7.46	67.8	100	30.12	0	-
12/31/2020 22:06	12.89	58.09	11.5	7.38	67.8	100	30.12	0	-
12/31/2020 22:00	12.9	58.07	11.4	7.3	67.8	100	30.12	0	-
12/31/2020 21:54	12.9	58.06	11.5	7.37	68	100	30.12	0	-
12/31/2020 21:48	12.9	58.05	10.9	7	68	100	30.11	0	-
12/31/2020 21:42	12.93	58.04	9.5	6.09	68.1	100	30.12	0	-
12/31/2020 21:36	12.9	58.02	10.3	6.59	68.3	100	30.13	0	-
12/31/2020 21:30	12.9	58.02	11.1	7.11	68.3	100	30.13	0	-
12/31/2020 21:24	12.9	58	10.8	6.93	68.5	100	30.14	0	-
12/31/2020 21:18	12.9	57.97	10.7	6.84	68.3	100	30.13	0	-
12/31/2020 21:12	12.9	57.94	10.1	6.49	68.3	100	30.13	0	-
12/31/2020 21:06	12.91	57.95	10.2	6.51	68.5	100	30.12	0	-
12/31/2020 21:00	12.9	57.95	9.5	6.11	68.7	100	30.12	0	-
12/31/2020 20:54	12.91	57.95	12.6	8.09	68.7	100	30.12	0	-
12/31/2020 20:48	12.92	57.98	12.5	8.02	68.7	100	30.11	0	-
12/31/2020 20:42	12.91	58.02	12.4	7.91	68.7	100	30.12	0	-
12/31/2020 20:36	12.91	58.01	12.2	7.82	68.7	100	30.12	0	-
12/31/2020 20:30	12.91	57.98	12.1	7.72	68.7	99.9	30.11	0	-
12/31/2020 20:24	12.93	57.97	11.3	7.26	68.7	100	30.11	0	-
12/31/2020 20:18	12.93	57.96	8.8	5.61	68.7	99.8	30.11	0	-
12/31/2020 20:12	12.91	57.96	8.6	5.51	68.5	99.7	30.11	0	-
12/31/2020 20:06	12.91	57.98	9.1	5.82	68.5	99.7	30.11	0	-
12/31/2020 20:00	12.91	57.97	8.9	5.72	68.5	99.5	30.12	0	-
12/31/2020 19:54	12.91	57.95	8.6	5.48	68.5	99.4	30.12	0	-
12/31/2020 19:48	12.89	57.92	8.6	5.53	68.5	99.6	30.12	0	-
12/31/2020 19:42	12.92	57.85	8.5	5.41	68.3	99.7	30.11	0	-
12/31/2020 19:36	12.92	57.8	7.7	4.93	68.1	99.6	30.1	0	-
12/31/2020 19:30	12.92	57.79	7.9	5.07	68	99.5	30.09	0	-
12/31/2020 19:24	12.92	57.81	7.7	4.93	67.8	99.5	30.09	0	-
12/31/2020 19:18	12.91	57.83	7.6	4.85	67.8	99.2	30.09	0	-
12/31/2020 19:12	12.92	57.84	7.3	4.66	67.8	99	30.09	0	-
12/31/2020 19:06	12.92	57.84	7.3	4.69	68	98.9	30.08	0	-
12/31/2020 19:00	12.93	57.85	7.2	4.62	68	98.9	30.08	0	-
12/31/2020 18:54	12.92	57.87	7.1	4.52	67.8	98.9	30.08	0	-
12/31/2020 18:48	12.92	57.86	6.9	4.4	67.6	98.7	30.08	0	-
12/31/2020 18:42	12.92	57.77	6.6	4.24	67.4	98.5	30.07	0	-
12/31/2020 18:36	12.93	57.69	6.2	4	67.4	98.2	30.07	0	-
12/31/2020 18:30	12.94	57.63	5.9	3.78	67.4	98	30.07	0	-
12/31/2020 18:24	12.93	57.69	6	3.86	67.6	97.8	30.07	0	-
12/31/2020 18:18	12.95	57.61	5.8	3.7	67.8	97.5	30.07	0	-
12/31/2020 18:12	12.93	57.63	5.7	3.63	68	97.3	30.07	0	-
12/31/2020 18:06	12.93	57.66	5.5	3.5	68.1	97.1	30.07	0	-
12/31/2020 18:00	12.93	57.67	5.5	3.51	68.3	96.9	30.07	0	-
12/31/2020 17:54	12.93	57.73	5.2	3.35	68.3	96.7	30.07	0	-
12/31/2020 17:48	12.95	57.62	5.2	3.3	68.5	96.4	30.07	0	-
12/31/2020 17:42	12.94	57.56	4.6	2.96	68.7	96	30.07	0	-
12/31/2020 17:36	12.94	57.6	4.3	2.72	69	95.8	30.07	0	-
12/31/2020 17:30	12.94	57.63	4	2.56	69.4	95.3	30.07	0	-
12/31/2020 17:24	12.95	57.63	3.8	2.45	69.6	95.2	30.07	0	-
12/31/2020 17:18	12.95	57.64	3.8	2.44	69.8	95.2	30.07	0	-
12/31/2020 17:12	12.95	57.62	3.8	2.45	69.6	95.1	30.07	0	-
12/31/2020 17:06	12.96	57.62	3.6	2.31	69.4	94.9	30.07	0	-
12/31/2020 17:00	12.97	57.62	3.8	2.45	69.6	94.6	30.07	0	-
12/31/2020 16:54	12.97	57.57	4.1	2.61	69.9	94.2	30.07	0	-
12/31/2020 16:48	12.98	57.56	4.1	2.6	70.3	93.4	30.07	0	-
12/31/2020 16:42	13.04	57.51	4.6	2.93	70.7	93.4	30.06	0	-
12/31/2020 16:36	13.01	57.5	4.8	3.05	70.8	93.1	30.07	0	-
12/31/2020 16:30	13.04	57.49	4.5	2.91	70.8	92.5	30.06	0	-
12/31/2020 16:24	13.01	57.45	4.9	3.13	71.4	92.1	30.06	0	-
12/31/2020 16:18	13.01	57.43	4.9	3.14	71.7	91.5	30.06	0	-
12/31/2020 16:12	13.09	57.42	5	3.23	71.9	91	30.06	0	-
12/31/2020 16:06	14.04	57.41	5.4	3.43	72.1	90.3	30.06	0	-
12/31/2020 16:00	14.24	57.38	5.6	3.57	72.5	90.1	30.06	0	-
12/31/2020 15:54	14.25	57.36	5.8	3.73	72.5	89.8	30.06	0	-
12/31/2020 15:48	14.24	57.37	6.1	3.92	72.6	89.6	30.06	0	-
12/31/2020 15:42	14.25	57.3	6.3	4.03	72.8	89.7	30.06	0	-
12/31/2020 15:36	14.24	57.28	6.6	4.25	72.6	89.6	30.06	0	-
12/31/2020 15:30	13.2	57.24	6.8	4.34	72.8	89.2	30.06	0	-
12/31/2020 15:24	14.22	57.22	7.1	4.52	73.2	88.6	30.06	0	-
12/31/2020 15:18	14.21	57.2	7.1	4.52	73	88.9	30.06	0	-
12/31/2020 15:12	14.21	57.21	7.4	4.72	73	87.9	30.06	0	-
12/31/2020 15:06	14.2	57.17	7.6	4.89	73.2	87.8	30.06	0	-
12/31/2020 15:00	14.2	57.21	7.8	5.02	73.2	87.6	30.06	0	-
12/31/2020 14:54	14.23	57.17	8	5.15	73.5	86.9	30.06	0	-
12/31/2020 14:48	14.17	57.18	8.5	5.46	73.7	86.8	30.05	0	-
12/31/2020 14:42	14.2	57.17	8.7	5.58	73.9	86.6	30.05	0	-
12/31/2020 14:36	14.2	57.2	9.1	5.8	74.1	86.1	30.05	0	-
12/31/2020 14:30	14.2	57.17	9.2	5.87	74.1	86.1	30.05	0	-
12/31/2020 14:24	14.21	57.22	9.5	6.1	73.5	86.2	30.05	0	-
12/31/2020 14:18	14.18	57.19	9.8	6.24	73.7	85.2	30.05	0	-
12/31/2020 14:12	14.17	57.23	10	6.41	74.4	84.5	30.05	0	-
12/31/2020 14:06	14.18	57.22	10.2	6.52	74.3	85.3	30.05	0	-
12/31/2020 14:00	14.16	57.17	10.3	6.62	74.1	85.3	30.05	0	-
12/31/2020 13:54	14.15	57.14	10.7	6.84	74.3	84.7	30.05	0	-
12/31/2020 13:48	14.13	57.18	10.8	6.94	74.3	85.1	30.05	0	-
12/31/2020 13:42	14.12	57.15	10.9	6.95	73.9	85.1	30.06	0	-
12/31/2020 13:36	14.12	57.2	11.1	7.12	74.3	84.5	30.05	0	-
12/31/2020 13:30	14.13	57.22	11.3	7.22	74.1	84.6	30.05	0	-
12/31/2020 13:24	14.1	57.22	11.5	7.35	74.3	84.3	30.06	0	-
12/31/2020 13:18	14.08	57.22	11.6	7.43	75	83.1	30.06	0	-
12/31/2020 13:12	14.07	57.21	11.7	7.5	75.3	83.8	30.07	0	-
12/31/2020 13:06	14.07	57.21	11.9	7.62	75.2	83.4	30.07	0	-
12/31/2020 13:00	14.05	57.27	12.2	7.8	75.3	83.6	30.07	0	-
12/31/2020 12:54	14.09	57.31	12.4	7.91	75.2	83.6	30.07	0	-
12/31/2020 12:48	14.07	57.37	12.6	8.08	75.3	83.2	30.07	0	-
12/31/2020 12:42	14.09	57.34	13.2	8.43	75.2	83.6	30.08	0	-
12/31/2020 12:36	14.1	57.36	13.1	8.41	75.2	83.4	30.08	0	-
12/31/2020 12:30	14.1	57.38	13.3	8.53	75.2	83.5	30.08	0	-
12/31/2020 12:24	13.54	57.36	13.4	8.58	75	83.7	30.08	0	-
12/31/2020 12:18	14.12	57.41	13.6	8.69	74.6	84.2	30.08	0	-
12/31/2020 12:12	13.5	57.34	13.5	8.66	74.3	83.8	30.09	0	-
12/31/2020 12:06	13.39	57.4	13.3	8.54	74.1	83.9	30.09	0	-
12/31/2020 12:00	13.43	57.41	13.2	8.47	74.1	83.8	30.09	0	-
12/31/2020 11:54	13.6	57.44	13.4	8.56	74.3	84.3	30.1	0	-
12/31/2020 11:48	13.64	57.5	13.2	8.48	74.4	84.6	30.1	0	-
12/31/2020 11:42	13.56	57.34	13	8.32	74.3	85	30.1	0	-
12/31/2020 11:36	13.55	57.31	12.9	8.27	73.9	85.3	30.1	0	-
12/31/2020 11:30	13.54	57.2	13.4	8.59	74.1	85.7	30.1	0	-
12/31/2020 11:24	13.47	56.92	13.8	8.85	73.9	85.8	30.11	0	-
12/31/2020 11:18	13.49	56.89	13.9	8.88	73.7	86.1	30.11	0	-
12/31/2020 11:12	13.44	56.88	13.8	8.86	73.7	86.5	30.11	0	-
12/31/2020 11:06	13.45	56.87	13.9	8.9	73.4	86.9	30.12	0	-
12/31/2020 11:00	13.47	56.85	13.7	8.8	73.2	87.6	30.12	0	-
12/31/2020 10:54	13.44	56.85	13.8	8.82	73	87.8	30.12	0	-
12/31/2020 10:48	13.39	56.87	13.8	8.81	73	88.1	30.12	0	-
12/31/2020 10:42	13.42	56.85	13.9	8.91	72.8	88.5	30.12	0	-
12/31/2020 10:36	13.4	56.86	14	8.98	72.6	89.2	30.12	0	-
12/31/2020 10:30	13.39	56.84	13.8	8.85	72.5	89.7	30.12	0	-
12/31/2020 10:24	13.37	56.84	14	8.97	72.3	90.4	30.12	0	-
12/31/2020 10:18	13.26	56.83	13.9	8.9	71.9	90.8	30.12	0	-
12/31/2020 10:12	13.34	56.82	13.9	8.87	71.6	91.7	30.13	0	-
12/31/2020 10:06	13.21	56.81	13.8	8.81	71.4	92.1	30.13	0	-
12/31/2020 10:00	13.25	56.81	14.1	9.03	71.4	92.5	30.13	0	-
12/31/2020 9:54	13.23	56.79	13.8	8.82	71.2	92.8	30.13	0	-
12/31/2020 9:48	13.32	56.77	13.6	8.73	71.4	93	30.13	0	-
12/31/2020 9:42	13.34	56.74	12.8	8.18	71	93.7	30.12	0	-
12/31/2020 9:36	13.27	56.69	13.2	8.45	70.7	94.1	30.12	0	-
12/31/2020 9:30	13.26	56.64	13	8.35	70.7	94.3	30.13	0	-
12/31/2020 9:24	13.32	56.62	13	8.3	70.5	94.7	30.12	0	-
12/31/2020 9:18	13.3	56.56	12.9	8.27	70.1	95.1	30.12	0	-
12/31/2020 9:12	13.27	56.54	12.8	8.21	69.9	95.7	30.12	0	-
12/31/2020 9:06	13.24	56.47	12.6	8.04	69.4	96.3	30.12	0	-
12/31/2020 9:00	13.2	56.37	12.2	7.81	69	97.2	30.12	0	-
12/31/2020 8:54	13.17	56.32	12.3	7.87	68.7	98	30.12	0	-
